dataset_name,path_type,acceleration_type,path_direction,path_number,sample_rate,ph,prediction_model,speed_avg,average_error,average_error_normal
VL_C_F_BU_2,VL_C,F,BU,2,10hz,1,CTRV,False,11.000003753768626,1.4051362479234741
HL_C_F_RL_4,HL_C,F,RL,4,full,1,CTRV,False,8.818147347939735,1.9259205775436983
HL_C_F_RL_4,HL_C,F,RL,4,2.5hz,1,CTRV,False,13.471525020257998,0.32543115105948706
HL_C_F_RL_4,HL_C,F,RL,4,10hz,1,CTRV,False,11.674309734263995,1.0978019211280972
HL_C_A_RL_2,HL_C,A,RL,2,full,1,CTRV,False,6.524137526718379,1.1049067957885172
HL_C_A_RL_2,HL_C,A,RL,2,2.5hz,1,CTRV,False,36.19072244965752,0.360416623783663
HL_C_A_RL_2,HL_C,A,RL,2,10hz,1,CTRV,False,13.837647619966873,0.7958624126785385
HL_C_F_RL_3,HL_C,F,RL,3,full,1,CTRV,False,7.295967877124045,1.2948750093314174
HL_C_F_RL_3,HL_C,F,RL,3,2.5hz,1,CTRV,False,15.89007823984727,0.323757672651528
HL_C_F_RL_3,HL_C,F,RL,3,10hz,1,CTRV,False,10.074368753513353,1.1457184108780623
HL_C_F_RL_1,HL_C,F,RL,1,full,1,CTRV,False,5.615429986967908,1.4868631880702599
HL_C_F_RL_1,HL_C,F,RL,1,2.5hz,1,CTRV,False,11.975167964433123,0.25309833327393716
HL_C_F_RL_1,HL_C,F,RL,1,10hz,1,CTRV,False,10.665470087251286,1.0719640761880218
HL_C_A_LR_1,HL_C,A,LR,1,full,1,CTRV,False,6.0314883727142865,1.1301845471328233
HL_C_A_LR_1,HL_C,A,LR,1,2.5hz,1,CTRV,False,26.412868256523197,0.38449864913361775
HL_C_A_LR_1,HL_C,A,LR,1,10hz,1,CTRV,False,13.027735146553134,0.7615506712028366
HL_C_A_RL_3,HL_C,A,RL,3,full,1,CTRV,False,6.0677462378716935,1.3826693606885956
HL_C_A_RL_3,HL_C,A,RL,3,2.5hz,1,CTRV,False,48.062675943027635,0.9161054755134784
HL_C_A_RL_3,HL_C,A,RL,3,10hz,1,CTRV,False,11.123791269729473,0.9936302441025511
HL_C_F_LR_1,HL_C,F,LR,1,full,1,CTRV,False,4.873719061495378,1.000112746256026
HL_C_F_LR_1,HL_C,F,LR,1,2.5hz,1,CTRV,False,19.228321639269442,0.3719377200130631
HL_C_F_LR_1,HL_C,F,LR,1,10hz,1,CTRV,False,10.25541362675493,1.090106258455349
HL_C_F_LR_3,HL_C,F,LR,3,full,1,CTRV,False,5.728076492160842,1.2832217296031838
HL_C_F_LR_3,HL_C,F,LR,3,2.5hz,1,CTRV,False,14.298590831921862,0.22823669063653376
HL_C_F_LR_3,HL_C,F,LR,3,10hz,1,CTRV,False,10.68990754801401,0.7557047711978898
HL_C_F_LR_4,HL_C,F,LR,4,full,1,CTRV,False,5.491288126456463,1.2813892410641377
HL_C_F_LR_4,HL_C,F,LR,4,2.5hz,1,CTRV,False,23.770783026146724,0.3906082912757321
HL_C_F_LR_4,HL_C,F,LR,4,10hz,1,CTRV,False,10.874536998266752,1.1499824522248745
HL_C_A_LR_3,HL_C,A,LR,3,full,1,CTRV,False,6.0342226015038865,1.3610992449452204
HL_C_A_LR_3,HL_C,A,LR,3,2.5hz,1,CTRV,False,23.413581286262104,0.5238413806111415
HL_C_A_LR_3,HL_C,A,LR,3,10hz,1,CTRV,False,9.237036880894014,0.8083600917900506
HL_C_A_LR_2,HL_C,A,LR,2,full,1,CTRV,False,6.565247436909882,1.00776951551773
HL_C_A_LR_2,HL_C,A,LR,2,2.5hz,1,CTRV,False,28.394970849561595,0.335621300910167
HL_C_A_LR_2,HL_C,A,LR,2,10hz,1,CTRV,False,11.387990314858222,0.7928419146025427
HL_C_F_RL_6,HL_C,F,RL,6,full,1,CTRV,False,8.56610903382851,1.9034569920573214
HL_C_F_RL_6,HL_C,F,RL,6,2.5hz,1,CTRV,False,17.64036628414151,0.3816250038052825
HL_C_F_RL_6,HL_C,F,RL,6,10hz,1,CTRV,False,13.061006484411639,1.5800978407785733
HL_C_A_RL_1,HL_C,A,RL,1,full,1,CTRV,False,6.565578102846564,1.2993760540555783
HL_C_A_RL_1,HL_C,A,RL,1,2.5hz,1,CTRV,False,31.50716784068007,0.8824193967333706
HL_C_A_RL_1,HL_C,A,RL,1,10hz,1,CTRV,False,9.957468543942271,1.8104050015780682
HL_C_F_RL_5,HL_C,F,RL,5,full,1,CTRV,False,11.122629052623857,2.4184121689102556
HL_C_F_RL_5,HL_C,F,RL,5,2.5hz,1,CTRV,False,39.48919979977166,0.602984420907986
HL_C_F_RL_5,HL_C,F,RL,5,10hz,1,CTRV,False,19.76236633515487,1.4892262627583996
HL_C_F_LR_2,HL_C,F,LR,2,full,1,CTRV,False,5.212503333275856,1.1721537987404798
HL_C_F_LR_2,HL_C,F,LR,2,2.5hz,1,CTRV,False,14.543679704108051,0.28335194769830013
HL_C_F_LR_2,HL_C,F,LR,2,10hz,1,CTRV,False,8.543020540517299,0.9071302382733902
HL_C_F_LR_6,HL_C,F,LR,6,full,1,CTRV,False,4.5219928704102355,1.2802364443064087
HL_C_F_LR_6,HL_C,F,LR,6,2.5hz,1,CTRV,False,16.667575985276812,0.44688936264089707
HL_C_F_LR_6,HL_C,F,LR,6,10hz,1,CTRV,False,9.819104691438541,1.3809161157926133
HL_C_F_RL_2,HL_C,F,RL,2,full,1,CTRV,False,5.92932033352943,1.083692422124688
HL_C_F_RL_2,HL_C,F,RL,2,2.5hz,1,CTRV,False,13.551926423432413,0.2542098271050115
HL_C_F_RL_2,HL_C,F,RL,2,10hz,1,CTRV,False,14.345798833469871,1.2946519664221676
HL_C_F_LR_5,HL_C,F,LR,5,full,1,CTRV,False,6.632327306505216,1.3476219958062714
HL_C_F_LR_5,HL_C,F,LR,5,2.5hz,1,CTRV,False,38.55596204831831,0.6672075220520421
HL_C_F_LR_5,HL_C,F,LR,5,10hz,1,CTRV,False,11.394570642398056,0.9392951026899494
DL_C_F_TLBR_5,DL_C,F,TLBR,5,full,1,CTRV,False,8.990716835225157,1.5811517290023558
DL_C_F_TLBR_5,DL_C,F,TLBR,5,2.5hz,1,CTRV,False,12.632296543029435,0.2225337415021823
DL_C_F_TLBR_5,DL_C,F,TLBR,5,10hz,1,CTRV,False,11.45439051089111,0.975973895186059
DL_C_F_BRTL_5,DL_C,F,BRTL,5,full,1,CTRV,False,8.368692153602975,1.5356337149782475
DL_C_F_BRTL_5,DL_C,F,BRTL,5,2.5hz,1,CTRV,False,8.946373341924952,0.1592679151422382
DL_C_F_BRTL_5,DL_C,F,BRTL,5,10hz,1,CTRV,False,11.749278138189638,0.9031340673739391
DL_C_A_BRTL_2,DL_C,A,BRTL,2,full,1,CTRV,False,6.06422876285241,1.3840546937544917
DL_C_A_BRTL_2,DL_C,A,BRTL,2,2.5hz,1,CTRV,False,33.344044439136944,0.4559978774553945
